Index,Date,Stars,Title,Review
42,"October 5, 2020",5.0,Good,  Great price
43,"October 5, 2020",1.0,Stopped working after 2 weeks,  They were great at first but now they aren’t working. I’ve had them for only two weeks and they won’t reconnect to my phone. We even tried connecting them to my husbands phone but it only makes a static noise in the headphones. Super unfortunate that I wasted my money
44,"October 5, 2020",5.0,Excellent,  Very easy connecting to different devices.  Sound quality is great.  Worth the price.
45,"October 5, 2020",3.0,Sounds great when they’re working.,"  They sound good, when both AirPods work! Put them in, the left one doesn’t work - I unpair them from my phone and reset them and they’re fine until I use them again and the right one doesn’t work. Then I go through the process again. I bought them in August of this year. Very disappointed."
46,"October 5, 2020",5.0,Great and are a genuine apple product,"  I loved it, easy to set up and use, highly recommend!"
47,"October 5, 2020",5.0,Full marks,  Full marks
48,"October 5, 2020",5.0,Would recommend,  I was very hesitant to purchase these due to price. I ended up caving. I’ve owned them for several months and I am so glad I finally bought them. The battery lasts a very long time. Sound quality is great. I love them.
49,"October 5, 2020",5.0,Great Product,"  This was a must have product for my teenager, but we loved getting these for such a great deal!  Great product with great sound quality!"
50,"October 5, 2020",1.0,DON'T waste your $ on Apple,"  Item is 3 months old.  Both will not play simultaneously.  I am tech savvy, went through all the trouble shooting instructions.  Wasted my time calling Apple.  Unbelievable that they will not replace item without your credit card on hold for the returned defective item.  My other son bought Jaybird's - not one issue!!!"
51,"October 5, 2020",5.0,"Gnarly sound, love the pause feature!","  I’m pretty in love wit these pups! I have a few pair of beats, and my husband ordered these for me because he bought himself something without letting me know. I told him I’d probably return them. I decided to keep them because they have killer sound, and I feel super high speed walking around with air pods. I really love how you take one out, and it pauses whatever you’re doing. I’m a huge podcast listener, it’s nice to automatically have it paused so I’m not missing out on true crime goodness! AirPods are kind of a game changer!"
52,"October 5, 2020",5.0,Love it,  Authentic & just as described
53,"October 5, 2020",5.0,Love them <3,  i bought 2 pair and love them soo much 1 one was a gift and the  other was for me
54,"October 4, 2020",5.0,convenient & great quality,  these work so great & its so much better than wired headphones. i seriously love these. theyre vey convenient & discreet. the sound quality is amazing. the charging case holds a charge for so long & i can go days without having to charge it. airpods die within a few hours but all you have to do is pop them back in the case for a little & youre good to go. its very much worth the price. ditch your wired headphones asap
55,"October 4, 2020",5.0,great buy,  great investment! love my airpods! 10/10
56,"October 4, 2020",5.0,Sound quality.,  Stays charged really well and connects easily.
57,"October 4, 2020",5.0,Amazing battery life and sound quality!!!,  They’re great! I honestly use them all the time and yet they seem to never run out of battery. The sound quality is amazing and I love how fast they connect after you put them in your ears.
58,"October 4, 2020",5.0,Good,  Overall good
59,"October 4, 2020",5.0,"Easy to wear, great sound for the wearer, no sound for those close by.","  I love these air pods!  I use them mainly to listen to books at night when I go to bed.  My husband is happy I no longer have the light on for an hour or so.  He can’t hear anything from the air pods as I use them, the light is out, he’s a happy guy!"
60,"October 4, 2020",1.0,Garbage don’t buy from here,  Stopped charging after a few uses.
61,"October 4, 2020",5.0,Good. Would recommend,  Literally just apple airpods. Good sound quality and pairs nicely. Had them for over 6 months now and still in great shape both visually and sound quality wise
62,"October 4, 2020",5.0,Best Purchase,  Best purchase! Great for an active life style I’d you don’t want annoying cords! Delivery was super nice too they made sure I got them at the door so no one would steal them and there was a warning on the box to make sure it wasn’t in any extreme temperature.
63,"October 4, 2020",5.0,love,"  i love these AirPods. I didnt see the point in dropping money to buy the new gen airpods, so i just got these. they're great!"
64,"October 4, 2020",1.0,Unhappy customer,"  I bought the AirPods on Aug 12. I do not use them often, I purchased them for my second job. I clean an office once a week. One of of them have already quit working!! It hasn't even been 2 months and have used them a handful of times! I should get better life out of them 😡"
65,"October 4, 2020",4.0,Clear,"  This product is very easy to use, the sound is clear, it is worth having."
66,"October 4, 2020",5.0,Great for video calls,"  Great for music and video calls, but battery dies after all day calls."
67,"October 4, 2020",4.0,Great,  They cut in and out after a months of usage.
68,"October 4, 2020",5.0,Bueno,  Llegaron bien
69,"October 4, 2020",4.0,Great,  They are great. I have a hard time with controls on the earbuds themselves. They dont seem as responsive.
70,"October 3, 2020",5.0,Never die on me.,"  Regular apple airpods, just as you’d expect. They sound perfect after a few months of use so far"
71,"October 3, 2020",5.0,Game-changer,"  I didn’t know what I was missing!  I walk a couple of miles each morning and had been using corded earbuds, which I all too often would accidentally catch my hand on, or not have enough length to carry my phone in a pocket.  These eliminated those issues.  I am also working remotely and have several ZOOM meetings a week.  I have started using the Air Pods for those as well.  They’re great for working in the yard without having to keep phone in hand or pocket.  Sound is very good.  Charge time is as advertised and recharge time is quick."
72,"October 3, 2020",5.0,Great!,  Couldn’t have asked for better ❤️
73,"October 3, 2020",5.0,Authentic Apple,"  We considered buying a knockoff brand, but we ended up going with the real deal and so glad we did. You cannot go wrong with Apple. Great products, always! This is definitely an authentic product."
74,"October 3, 2020",5.0,Overall,  They work how they supposed to work!
75,"October 3, 2020",4.0,WORKS GREAT,  MUSIC & PHONE CALLS WATCHING VIDEO’S
76,"October 3, 2020",5.0,Value for your money,  Am in love
77,"October 3, 2020",3.0,A little noise,"  The sound quality is average, there are a little bit noise, ears will hurt after wear a long time"
78,"October 3, 2020",5.0,Excellent Sound Quality,  I spend a lot of time on the phone for work - and I like how I can walk away from my phone but continue in my conversation.  It's SO helpful for multi-tasking.  I do wish the battery life lasted longer though.
79,"October 3, 2020",5.0,Overall good product and delivery process along with the early delivery!,  I give this product two thumbs up 👍.the overall delivery was amazing and in such a timely manner. My package was definitely early which is awesome ! I’m passing the word. Keep up the good work .
80,"October 3, 2020",5.0,Good Quality,  I love my Airpods! The sound quality and noise cancellation are great and the battery lasts a long time. I can go a pretty long time without having to charge them.
81,"October 3, 2020",5.0,Better than I would have ever expected!!!,"  I really can’t say enough good things about these AirPods. I have purchased the “knock off” brands that look similar and have had multiple problems with them. I was a little hesitant in spending the extra cash... compared to the $30 “knock offs”.  But after opening the box the AirPods, they immediately were recognized by mu iPhone. The sound quality was probably the best I have ever experienced with earbuds. I think they are better than a pair of Bose that I used to use... These are the real deal.. The size of the case is smaller and feels very well constructed. Like I said... I am completely satisfied and would recommend.. do not waste your time on the “knock off” brands... Go for the AirPods!!!ThanksJay"
82,"October 3, 2020",1.0,Defective,  Defective never worked
